index,item_identifier,item_weight,item_type,item_fat_content,item_mrp,item_visibility,outlet_identifier,outlet_establishment_year,outlet_size_str,outlet_size_num,outlet_location_type,outlet_type,item_outlet_sales,outlet_item_revenue
0,FDA15,9.3,Dairy,Low Fat,249.8092,0.016047301,OUT049,1999,medium,2,Tier 1,Supermarket Type1,3735.138,933071.84
1,DRC01,5.92,Soft Drinks,Regular,48.2692,0.019278216,OUT018,2009,medium,2,Tier 3,Supermarket Type2,443.4228,21403.66
2,FDN15,17.5,Meat,Low Fat,141.618,0.016760075,OUT049,1999,medium,2,Tier 1,Supermarket Type1,2097.27,297011.18
3,FDX07,19.2,Fruits and Vegetables,Regular,182.095,0.0,OUT010,1998,medium,2,Tier 3,Grocery Store,732.38,133362.74
4,NCD19,8.93,Household,Low Fat,53.8614,0.0,OUT013,1987,high,3,Tier 3,Supermarket Type1,994.7052,53576.21
5,FDP36,10.395,Baking Goods,Regular,51.4008,0.0,OUT018,2009,medium,2,Tier 3,Supermarket Type2,556.6088,28610.14
6,FDO10,13.65,Snack Foods,Regular,57.6588,0.012741089,OUT013,1987,high,3,Tier 3,Supermarket Type1,343.5528,19808.84
7,FDP10,12.6,Snack Foods,Low Fat,107.7622,0.127469857,OUT027,1985,medium,2,Tier 3,Supermarket Type3,4022.7636,433501.86
8,FDH17,16.2,Frozen Foods,Regular,96.9726,0.016687114,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1076.5986,104400.57
9,FDU28,19.2,Frozen Foods,Regular,187.8214,0.09444959,OUT017,2007,medium,2,Tier 2,Supermarket Type1,4710.535,884739.28
10,FDY07,11.8,Fruits and Vegetables,Low Fat,45.5402,0.0,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1516.0266,69040.15
11,FDA03,18.5,Dairy,Regular,144.1102,0.045463773,OUT046,1997,small,1,Tier 1,Supermarket Type1,2187.153,315191.06
12,FDX32,15.1,Fruits and Vegetables,Regular,145.4786,0.1000135,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1589.2646,231203.99
13,FDS46,17.6,Snack Foods,Regular,119.6782,0.047257328,OUT046,1997,small,1,Tier 1,Supermarket Type1,2145.2076,256734.58
14,FDF32,16.35,Fruits and Vegetables,Low Fat,196.4426,0.0680243,OUT013,1987,high,3,Tier 3,Supermarket Type1,1977.426,388450.7
15,FDP49,9.0,Breakfast,Regular,56.3614,0.069088961,OUT046,1997,small,1,Tier 1,Supermarket Type1,1547.3192,87209.08
16,NCB42,11.8,Health and Hygiene,Low Fat,115.3492,0.008596051,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1621.8888,187083.58
17,FDP49,9.0,Breakfast,Regular,54.3614,0.069196376,OUT049,1999,medium,2,Tier 1,Supermarket Type1,718.3982,39053.13
18,DRI11,12.6,Hard Drinks,Low Fat,113.2834,0.034237682,OUT027,1985,medium,2,Tier 3,Supermarket Type3,2303.668,260967.34
19,FDU02,13.35,Dairy,Low Fat,230.5352,0.10249212,OUT035,2004,small,1,Tier 2,Supermarket Type1,2748.4224,633608.11
20,FDN22,18.85,Snack Foods,Regular,250.8724,0.138190277,OUT013,1987,high,3,Tier 3,Supermarket Type1,3775.086,947064.89
21,FDW12,12.6,Baking Goods,Regular,144.5444,0.035399923,OUT027,1985,medium,2,Tier 3,Supermarket Type3,4064.0432,587434.69
22,NCB30,14.6,Household,Low Fat,196.5084,0.025698134,OUT035,2004,small,1,Tier 2,Supermarket Type1,1587.2672,311911.34
23,FDC37,12.6,Baking Goods,Low Fat,107.6938,0.057556998,OUT019,1985,small,1,Tier 1,Grocery Store,214.3876,23088.22
24,FDR28,13.85,Frozen Foods,Regular,165.021,0.025896485,OUT046,1997,small,1,Tier 1,Supermarket Type1,4078.025,672959.76
25,NCD06,13.0,Household,Low Fat,45.906,0.099887103,OUT017,2007,medium,2,Tier 2,Supermarket Type1,838.908,38510.91
26,FDV10,7.645,Snack Foods,Regular,42.3112,0.066693437,OUT035,2004,small,1,Tier 2,Supermarket Type1,1065.28,45073.28
27,DRJ59,11.65,Hard Drinks,Low Fat,39.1164,0.019356132,OUT013,1987,high,3,Tier 3,Supermarket Type1,308.9312,12084.28
28,FDE51,5.925,Dairy,Regular,45.5086,0.161466534,OUT010,1998,medium,2,Tier 3,Grocery Store,178.4344,8120.3
29,FDC14,12.6,Canned,Regular,43.6454,0.072221801,OUT019,1985,small,1,Tier 1,Grocery Store,125.8362,5492.17
30,FDV38,19.25,Dairy,Low Fat,55.7956,0.170348551,OUT010,1998,medium,2,Tier 3,Grocery Store,163.7868,9138.58
31,NCS17,18.6,Health and Hygiene,Low Fat,96.4436,0.080829372,OUT018,2009,medium,2,Tier 3,Supermarket Type2,2741.7644,264425.63
32,FDP33,18.7,Snack Foods,Low Fat,256.6672,0.0,OUT018,2009,medium,2,Tier 3,Supermarket Type2,3068.0064,787456.61
33,FDO23,17.85,Breads,Low Fat,93.1436,0.0,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2174.5028,202541.02
34,DRH01,17.5,Soft Drinks,Low Fat,174.8738,0.097904029,OUT046,1997,small,1,Tier 1,Supermarket Type1,2085.2856,364661.82
35,NCX29,10.0,Health and Hygiene,Low Fat,146.7102,0.089291137,OUT049,1999,medium,2,Tier 1,Supermarket Type1,3791.0652,556187.93
36,FDV20,12.6,Fruits and Vegetables,Regular,128.0678,0.059511812,OUT027,1985,medium,2,Tier 3,Supermarket Type3,2797.6916,358294.21
37,DRZ11,8.85,Soft Drinks,Regular,122.5388,0.113123893,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1609.9044,197275.75
38,FDX10,12.6,Snack Foods,Regular,36.9874,0.123111453,OUT027,1985,medium,2,Tier 3,Supermarket Type3,388.1614,14357.08
39,FDB34,12.6,Snack Foods,Low Fat,87.6198,0.026480954,OUT027,1985,medium,2,Tier 3,Supermarket Type3,2180.495,191054.54
40,FDU02,13.35,Dairy,Low Fat,230.6352,0.102511504,OUT046,1997,small,1,Tier 1,Supermarket Type1,3435.528,792353.69
41,FDK43,9.8,Meat,Low Fat,126.002,0.02681843,OUT013,1987,high,3,Tier 3,Supermarket Type1,2150.534,270971.59
42,FDA46,13.6,Snack Foods,Low Fat,192.9136,0.117818348,OUT049,1999,medium,2,Tier 1,Supermarket Type1,2527.3768,487565.36
43,FDC02,21.35,Canned,Low Fat,259.9278,0.069102831,OUT018,2009,medium,2,Tier 3,Supermarket Type2,6768.5228,1759327.24
44,FDL50,12.15,Canned,Regular,126.5046,0.042277867,OUT013,1987,high,3,Tier 3,Supermarket Type1,373.5138,47251.21
45,FDM39,6.42,Dairy,Low Fat,178.1002,0.089498926,OUT010,1998,medium,2,Tier 3,Grocery Store,358.2004,63795.56
46,NCP05,19.6,Health and Hygiene,Low Fat,153.3024,0.0,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2428.8384,372346.76
47,FDV49,10.0,Canned,Low Fat,265.2226,0.025879577,OUT045,2002,medium,2,Tier 2,Supermarket Type1,5815.0972,1542295.2
48,FDL12,15.85,Baking Goods,Regular,60.622,0.121632721,OUT046,1997,small,1,Tier 1,Supermarket Type1,2576.646,156201.43
49,FDS02,12.6,Dairy,Regular,196.8794,0.255394896,OUT019,1985,small,1,Tier 1,Grocery Store,780.3176,153628.46
50,NCL17,7.39,Health and Hygiene,Low Fat,143.8812,0.067779712,OUT046,1997,small,1,Tier 1,Supermarket Type1,3134.5864,451008.05
51,FDM40,10.195,Frozen Foods,Low Fat,141.5154,0.159803853,OUT013,1987,high,3,Tier 3,Supermarket Type1,850.8924,120414.38
52,FDR13,9.895,Canned,Regular,117.0492,0.028696932,OUT013,1987,high,3,Tier 3,Supermarket Type1,810.9444,94920.39
